unified_dataset,metric,metric_label,model_A,model_B,n_pairs,wilcoxon_stat,wilcoxon_p,cohens_dz,mean_diff_A_minus_B,ci95_low,ci95_high
CASP-domain,GDT_TS,GDT-TS,O-Physico,ESMFold,42,250.0,0.01933627373730222,0.28796697988608133,0.03180714285714286,-0.00012071428571428187,0.0659073214285714
CASP-domain,GDT_TS,GDT-TS,O-Physico,Baseline,42,25.0,4.1109160520136356e-10,1.1429409649408466,0.28729047619047626,0.21097279761904766,0.3635194642857143
CASP-domain,GDT_TS,GDT-TS,O-Physico,jackhmmer,42,378.5,0.3613554763221116,-0.04902171797871206,-0.0014571428571428537,-0.011114345238095243,0.00648345238095238
CASP-domain,GDT_TS,GDT-TS,N-Physico,ESMFold,42,279.0,0.031011575360040632,0.22209183499520913,0.0249547619047619,-0.007572916666666654,0.05938916666666665
CASP-domain,GDT_TS,GDT-TS,N-Physico,Baseline,42,23.0,1.288098763609539e-07,1.1281555298315673,0.28043809523809526,0.2051285714285715,0.3566044047619047
CASP-domain,GDT_TS,GDT-TS,N-Physico,jackhmmer,42,270.5,0.09538267464042291,-0.2155994939825274,-0.008309523809523812,-0.021438392857142857,0.0017023809523809494
CASP-domain,GDT_TS,GDT-TS,ESMFold,Baseline,42,4.0,3.183231456205249e-12,1.128207678496929,0.25548333333333334,0.18744107142857144,0.3259510119047619
CASP-domain,GDT_TS,GDT-TS,ESMFold,jackhmmer,42,198.5,0.004470979608232278,-0.2985354731384297,-0.03326428571428571,-0.06808309523809523,-0.0008856547619047963
CASP-domain,GDT_TS,GDT-TS,Baseline,jackhmmer,42,26.0,4.861249180976301e-10,-1.1281900146993724,-0.28874761904761903,-0.3667593452380952,-0.21320964285714308
CASP-domain,GDT_TA,GDT-HA,O-Physico,N-Physico,42,309.5,0.11688629664371154,0.33984144473290384,0.00865238095238095,0.0015285119047619073,0.01666244047619047
CASP-domain,GDT_TA,GDT-HA,O-Physico,ESMFold,42,248.0,0.010108644360116159,0.2710622163016698,0.02491666666666666,-0.0022577976190476232,0.052790892857142856
CASP-domain,GDT_TA,GDT-HA,O-Physico,Baseline,42,20.0,1.687112671788782e-10,1.115569379050382,0.2501404761904762,0.18210821428571433,0.31926089285714293
CASP-domain,GDT_TA,GDT-HA,O-Physico,jackhmmer,42,362.0,0.3747153137708922,-0.06058994272338744,-0.00180952380952382,-0.011272023809523824,0.006188214285714273
CASP-domain,GDT_TA,GDT-HA,N-Physico,ESMFold,42,269.5,0.03694787554934938,0.17923824060463855,0.01626428571428571,-0.010712261904761907,0.04336571428571426
CASP-domain,GDT_TA,GDT-HA,N-Physico,Baseline,42,20.0,1.687112671788782e-10,1.100231103813809,0.2414880952380952,0.17518571428571428,0.308288869047619
CASP-domain,GDT_TA,GDT-HA,N-Physico,jackhmmer,42,262.0,0.046656864590185546,-0.2624760918123514,-0.01046190476190477,-0.024104761904761914,-0.0002735714285714434
CASP-domain,GDT_TA,GDT-HA,ESMFold,Baseline,42,9.0,1.5006662579253316e-11,1.1205522936333705,0.2252238095238095,0.16534589285714288,0.2878823214285714
CASP-domain,GDT_TA,GDT-HA,ESMFold,jackhmmer,42,210.0,0.0025305500215946205,-0.29374903328709684,-0.026726190476190483,-0.0546660119047619,-1.9583333333360523e-05
CASP-domain,GDT_TA,GDT-HA,Baseline,jackhmmer,42,20.0,1.687112671788782e-10,-1.1073211465399295,-0.25195,-0.3210368452380953,-0.18417738095238098
